

date,fase,level,algoritm,ordering,time,ocs

date,fase,level,algoritm,ordering,time,ocs





date,fase,level,algoritm,ordering,time,ocs

date,fase,level,algoritm,ordering,time,ocs

date,fase,level,algoritm,ordering,time,ocs

date,fase,level,algoritm,ordering,time,ocs
170414225752,1,0.0,bubblesort,6939,89,77.68523
170414230026,2,1.0,bubblesort,18035,232,38.819176
170414230104,3,2.0,bubblesort,20785,268,25.84929
170414230358,4,3.0,bubblesort,32978,428,19.235346
170414230945,5,4.0,bubblesort,57181,749,15.2538805

date,fase,level,algoritm,ordering,time,ocs
170414231029,1,0.0,bubblesort,372,4,80.65915
170414231318,2,1.0,bubblesort,10556,158,33.231754
170414231415,3,2.0,bubblesort,13839,211,21.807987
170414231513,4,3.0,bubblesort,17120,264,16.197334
170414231631,5,4.0,bubblesort,21517,334,12.854028

date,fase,level,algoritm,ordering,time,ocs
170414231709,1,0.0,quicksort,4869,30,159.50337
170414231714,2,1.0,quicksort,5503,34,79.753624
170414231748,3,2.0,quicksort,9739,61,53.078487
170414231905,4,3.0,quicksort,19486,122,39.849323
170414232041,5,4.0,quicksort,31612,198,31.878345

date,fase,level,algoritm,ordering,time,ocs
170415013748,1,0.0,quicksort,14903,78,189.11476
170415013905,2,1.0,quicksort,25630,140,90.927155
170415014218,3,2.0,quicksort,50974,294,57.75927
170415014257,4,3.0,quicksort,55906,324,43.051113
170415014336,5,4.0,quicksort,60828,355,34.263695

date,fase,level,algoritm,ordering,time,ocs
170415014453,1,0.0,bubblesort,4405,70,62.831635
170415014747,2,1.0,bubblesort,14323,228,31.326004
170415015002,3,2.0,bubblesort,22003,351,20.857447
170415015217,4,3.0,bubblesort,29660,474,15.626153
170415015451,5,4.0,bubblesort,38416,615,12.490185



date,fase,level,algoritm,ordering,time,ocs
170421223722,1,0.0,quicksort,21064,109,192.0601
170421223801,2,1.0,quicksort,26827,141,94.99108
170421224113,3,2.0,quicksort,54567,297,61.042034
170421224152,4,3.0,quicksort,59915,329,45.503773
170421224231,5,4.0,quicksort,65252,360,36.217308
170421224407,6,5.0,quicksort,77662,436,29.661457
170421224700,7,6.0,quicksort,100051,574,24.89263
170421224935,8,7.0,quicksort,119184,693,21.48178
170421225209,9,8.0,quicksort,138870,815,18.920628
170421225443,10,9.0,quicksort,158912,938,16.935566

date,fase,level,algoritm,ordering,time,ocs
170421225658,1,0.0,quicksort,2826,15,179.63387
170421225756,2,1.0,quicksort,10293,61,83.47526
170421225854,3,2.0,quicksort,17587,107,54.53993
170421225859,4,3.0,quicksort,18222,111,81.724
170421225904,5,2.0,quicksort,18847,115,54.415585
170421225952,6,3.0,quicksort,24897,153,40.576614
170421230049,7,4.0,quicksort,32201,199,32.31929
170421230128,8,5.0,quicksort,37051,229,26.855791
170421230133,9,6.0,quicksort,37687,233,23.01315
170421230147,10,7.0,quicksort,39502,245,20.132553
170421230304,11,8.0,quicksort,49260,306,17.860153
170421230422,12,9.0,quicksort,58976,367,16.046843

date,fase,level,algoritm,ordering,time,ocs
170421231820,1,0.0,quicksort,35679,190,187.72197
170421231918,2,1.0,quicksort,43747,236,92.44302
170421232231,3,2.0,quicksort,70332,391,59.858192
170421232329,4,3.0,quicksort,78147,438,44.6016
170421232407,5,4.0,quicksort,83325,468,35.54654
170421232603,6,5.0,quicksort,98712,561,29.319149
170421232916,7,6.0,quicksort,124064,714,24.800777
170421233209,8,7.0,quicksort,146687,852,21.511007
170421233424,9,8.0,quicksort,164245,959,19.019882
170421233639,10,9.0,quicksort,181693,1066,17.038107

date,fase,level,algoritm,ordering,time,ocs
170421234031,1,0.0,quicksort,4638,27,170.97987
170421234129,2,1.0,quicksort,11952,72,82.0541
170421234226,3,2.0,quicksort,19271,118,54.18849
170421234324,4,3.0,quicksort,26585,164,40.43444
170421234422,5,4.0,quicksort,33881,210,32.241673
170421234501,6,5.0,quicksort,38775,240,26.82693
170421234506,7,6.0,quicksort,39407,244,22.989666
170421234520,8,7.0,quicksort,41192,256,20.106604
170421234637,9,8.0,quicksort,50945,317,17.840603
170421234754,10,9.0,quicksort,60690,378,16.036041

date,fase,level,algoritm,ordering,time,ocs
170422004225,1,0.0,quicksort,26287,129,203.46921
170422004230,2,1.0,quicksort,27100,133,101.619156
170422004518,3,2.0,quicksort,53793,273,65.63179
170422004616,4,3.0,quicksort,62548,320,48.755318
170422004636,5,4.0,quicksort,65410,336,38.876095
170422004812,6,5.0,quicksort,79622,415,31.938534
170422005046,7,6.0,quicksort,101860,541,26.87994
170422005320,8,7.0,quicksort,123561,666,23.178905
170422005535,9,8.0,quicksort,142179,775,20.376434
170422005731,10,9.0,quicksort,157886,868,18.183891


date,fase,level,algoritm,ordering,time,ocs
170422013311,1,0.0,quicksort,2673,15,173.86496
170422013409,2,1.0,quicksort,9981,61,81.385864
170422013507,3,2.0,quicksort,17236,107,53.60403
170422013604,4,3.0,quicksort,24525,153,40.017296
170422013702,5,4.0,quicksort,31802,199,31.93629
170422013741,6,5.0,quicksort,36630,229,26.568083
170422013746,7,6.0,quicksort,37259,233,22.769705
170422013800,8,7.0,quicksort,39046,245,19.914925
170422013917,9,8.0,quicksort,48750,306,17.684187
170422014034,10,9.0,quicksort,58417,367,15.894614
